Kode Rumah Sakit,Nama Rumah Sakit,Tipe,Alamat,Latitude,Longitude,Telepon,Email,Kelas,Kamar,Jumlah Bed,BPJS
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,Kelas I,"Ruang WISNU N, RAMA 1-6, KRISNA 1-3, AMARTA 4, WIRATA 1-3, 7-10, WIRATA 12, SHINTA, ISMAYA, PANDU, INDRA",20,0
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,Kelas II,"Ruang KRISNA 4-5, NAKULA 2-4 4, WIRATA 11, NARADA 1, RATIH",4,0
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,Kelas III,"Ruang KAMAJAYA 1-4, SADEWA 1-2, INDRA 1-4,  RATIH 1-2, SHINTA 1-8, SRIKANDI, KAMAR BAYI, WISNU G, 01,02",0,0
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,ICU,,4,0
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,VVIP/Super VIP,,7,0
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,VIP,,15,0
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,Kelas I,RUANG MARIA,11,0
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,Kelas II,,16,0
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,Kelas III,,37,0
3372132,RS Umum Islam Kustati,C,Jl. Kapt. Mulyadi No.249,-7.580900,110.830900,0271-643013,rsuikustati@yahoo.com,ICU,,7,0
3372132,RS Umum Islam Kustati,C,Jl. Kapt. Mulyadi No.249,-7.580900,110.830900,0271-643013,rsuikustati@yahoo.com,VIP,,1,0
3372132,RS Umum Islam Kustati,C,Jl. Kapt. Mulyadi No.249,-7.580900,110.830900,0271-643013,rsuikustati@yahoo.com,Kelas I,"Ruang AL - ATHFAL, Ruang AL - AFIYAH, Ruang AN - NISSA, Ruang AS - SYIFA, Ruang AL - FAJR, Ruang AN - NUR",16,0
3372132,RS Umum Islam Kustati,C,Jl. Kapt. Mulyadi No.249,-7.580900,110.830900,0271-643013,rsuikustati@yahoo.com,Kelas II,"Ruang AN - NISSA, Ruang AL - AFIYAH, Ruang AL - FAJR, Ruang AN - NUR, Ruang AL - ATHFAL, Ruang AS - SYIFA",44,0
3372132,RS Umum Islam Kustati,C,Jl. Kapt. Mulyadi No.249,-7.580900,110.830900,0271-643013,rsuikustati@yahoo.com,Kelas III,"Ruang AL - ATHFAL, Ruang AL - AFIYAH, Ruang AN - NISSA, Ruang AS - SYIFA, Ruang AL - FAJR, Ruang AN - NUR",59,0
3372030,RS Umum Tk IV Slamet Riyadi Surakarta,C,"Jl. Slamet Riyadi 321, Surakarta",-7.565822,110.805288,0271-714656,rstslametriyadisolo@yahoo.co.id,ICU,,10,0
3372030,RS Umum Tk IV Slamet Riyadi Surakarta,C,"Jl. Slamet Riyadi 321, Surakarta",-7.565822,110.805288,0271-714656,rstslametriyadisolo@yahoo.co.id,VVIP/Super VIP,,2,0
3372030,RS Umum Tk IV Slamet Riyadi Surakarta,C,"Jl. Slamet Riyadi 321, Surakarta",-7.565822,110.805288,0271-714656,rstslametriyadisolo@yahoo.co.id,VIP,,6,0
3372030,RS Umum Tk IV Slamet Riyadi Surakarta,C,"Jl. Slamet Riyadi 321, Surakarta",-7.565822,110.805288,0271-714656,rstslametriyadisolo@yahoo.co.id,Kelas I,,7,0
3372030,RS Umum Tk IV Slamet Riyadi Surakarta,C,"Jl. Slamet Riyadi 321, Surakarta",-7.565822,110.805288,0271-714656,rstslametriyadisolo@yahoo.co.id,Kelas II,,33,0
3372030,RS Umum Tk IV Slamet Riyadi Surakarta,C,"Jl. Slamet Riyadi 321, Surakarta",-7.565822,110.805288,0271-714656,rstslametriyadisolo@yahoo.co.id,Kelas III,,36,0
3372236,RS Umum Hermina Solo,C,JL. Kolonel Sutarto No. 16 Jebres Surakarta,-7.560000,110.840194,0271-638989,solo@herminahospitalgroup.com,ICU,,8,0
3372236,RS Umum Hermina Solo,C,JL. Kolonel Sutarto No. 16 Jebres Surakarta,-7.560000,110.840194,0271-638989,solo@herminahospitalgroup.com,VIP,,9,0
3372236,RS Umum Hermina Solo,C,JL. Kolonel Sutarto No. 16 Jebres Surakarta,-7.560000,110.840194,0271-638989,solo@herminahospitalgroup.com,Kelas I,Ruang KELAS I,23,0
3372236,RS Umum Hermina Solo,C,JL. Kolonel Sutarto No. 16 Jebres Surakarta,-7.560000,110.840194,0271-638989,solo@herminahospitalgroup.com,Kelas II,Ruang KELAS II,16,0
3372236,RS Umum Hermina Solo,C,JL. Kolonel Sutarto No. 16 Jebres Surakarta,-7.560000,110.840194,0271-638989,solo@herminahospitalgroup.com,Kelas III,Ruang KELAS III,26,0
3372052,RS Jiwa Daerah Surakarta,A,"Jl. K.H. Dewantoro 80, Jebres, Surakarta",-7.556400,110.863300,0271-641442,rsjd_surakarta@yahoo.com,ICU,,4,0
3372052,RS Jiwa Daerah Surakarta,A,"Jl. K.H. Dewantoro 80, Jebres, Surakarta",-7.556400,110.863300,0271-641442,rsjd_surakarta@yahoo.com,VIP,,16,0
3372052,RS Jiwa Daerah Surakarta,A,"Jl. K.H. Dewantoro 80, Jebres, Surakarta",-7.556400,110.863300,0271-641442,rsjd_surakarta@yahoo.com,Kelas I,"Ruang KRESNA, Ruang WISANGGENI, Ruang BISMA, Ruang DRUPADI",16,0
3372052,RS Jiwa Daerah Surakarta,A,"Jl. K.H. Dewantoro 80, Jebres, Surakarta",-7.556400,110.863300,0271-641442,rsjd_surakarta@yahoo.com,Kelas II,"Ruang SAMBA, Ruang DRUPADI, Ruang SADEWA, Ruang WISANGGENI, Ruang KRESNA, Ruang LARASATI, Ruang SRIKANDI, Ruang GATOTKACA, Ruang SUMBADRA",41,0
3372052,RS Jiwa Daerah Surakarta,A,"Jl. K.H. Dewantoro 80, Jebres, Surakarta",-7.556400,110.863300,0271-641442,rsjd_surakarta@yahoo.com,Kelas III,"Ruang ABIMANYU, Ruang SADEWA, Ruang NAKULA, Ruang SAMBA, Ruang DRUPADI, Ruang LARASATI, Ruang SENA, Ruang WISANGGENI, Ruang KRESNA, Ruang ARJUNA, Ruang SUMBADRA, Ruang SRIKANDI, Ruang GATOTKACA",181,0
3372074,RS Umum Panti Waluyo,C,Jl. Jend A Yani No.1,-7.559800,110.791100,0271-712077,rspantiwaluyo@gmail.com,ICU,,4,0
3372074,RS Umum Panti Waluyo,C,Jl. Jend A Yani No.1,-7.559800,110.791100,0271-712077,rspantiwaluyo@gmail.com,VVIP/Super VIP,,5,0
3372074,RS Umum Panti Waluyo,C,Jl. Jend A Yani No.1,-7.559800,110.791100,0271-712077,rspantiwaluyo@gmail.com,VIP,,6,0
3372074,RS Umum Panti Waluyo,C,Jl. Jend A Yani No.1,-7.559800,110.791100,0271-712077,rspantiwaluyo@gmail.com,Kelas I,"Ruang Bakung Anak IMC, Ruang Bakung Anak, Ruang Catleya Ibu, Ruang Anggrek",12,0
3372074,RS Umum Panti Waluyo,C,Jl. Jend A Yani No.1,-7.559800,110.791100,0271-712077,rspantiwaluyo@gmail.com,Kelas II,"Ruang Bakung Anak, Ruang Aster, Ruang Catleya Ibu, Ruang Bakung Dewasa",17,0
3372074,RS Umum Panti Waluyo,C,Jl. Jend A Yani No.1,-7.559800,110.791100,0271-712077,rspantiwaluyo@gmail.com,Kelas III,"Ruang Cempaka, Ruang Catleya Ibu, Ruang Bakung Dewasa, Ruang Bakung Anak",21,0
3372235,RS Khusus Mata Solo,C,"Jl. Adi Sucipto 169, Karangasem , Laweyan",-7.547600,110.779700,0271-713333,rsmatasolo@gmail.com,ICU,,2,0
3372235,RS Khusus Mata Solo,C,"Jl. Adi Sucipto 169, Karangasem , Laweyan",-7.547600,110.779700,0271-713333,rsmatasolo@gmail.com,VIP,,1,0
3372235,RS Khusus Mata Solo,C,"Jl. Adi Sucipto 169, Karangasem , Laweyan",-7.547600,110.779700,0271-713333,rsmatasolo@gmail.com,Kelas I,,8,0
3372235,RS Khusus Mata Solo,C,"Jl. Adi Sucipto 169, Karangasem , Laweyan",-7.547600,110.779700,0271-713333,rsmatasolo@gmail.com,Kelas II,,3,0
,RS Khusus Mata Solo,C,"Jl. Adi Sucipto 169, Karangasem , Laweyan",-7.547600,110.779700,0271-713333,rsmatasolo@gmail.com,Kelas III,,5,0
3372191,RS Umum Triharsi,D,"Jl. Monginsidi No.82,Surakarta",-7.557600,110.825000,0271-656903,triharsi.solo@gmail.com,ICU,,4,0
3372191,RS Umum Triharsi,D,"Jl. Monginsidi No.82,Surakarta",-7.557600,110.825000,0271-656903,triharsi.solo@gmail.com,VVIP/Super VIP,,1,0
3372191,RS Umum Triharsi,D,"Jl. Monginsidi No.82,Surakarta",-7.557600,110.825000,0271-656903,triharsi.solo@gmail.com,VIP,,5,0
3372191,RS Umum Triharsi,D,"Jl. Monginsidi No.82,Surakarta",-7.557600,110.825000,0271-656903,triharsi.solo@gmail.com,Kelas I,Ruang 11,22,0
3372191,RS Umum Triharsi,D,"Jl. Monginsidi No.82,Surakarta",-7.557600,110.825000,0271-656903,triharsi.solo@gmail.com,Kelas II,Ruang 10,20,0
3372191,RS Umum Triharsi,D,"Jl. Monginsidi No.82,Surakarta",-7.557600,110.825000,0271-656903,triharsi.solo@gmail.com,Kelas III,Ruang 10,24,0
3372238,RS PKU Muhammadiyah Sampangan Surakarta,D,Semanggi RT 002 RW 020 Pasar Kliwon,-7.581668,110.836446,0271-633894,-,ICU,,4,0
3372238,RS PKU Muhammadiyah Sampangan Surakarta,D,Semanggi RT 002 RW 020 Pasar Kliwon,-7.581668,110.836446,0271-633894,,VIP,,2,0
3372238,RS PKU Muhammadiyah Sampangan Surakarta,D,Semanggi RT 002 RW 020 Pasar Kliwon,-7.581668,110.836446,0271-633894,,Kelas I,,4,0
3372238,RS PKU Muhammadiyah Sampangan Surakarta,D,Semanggi RT 002 RW 020 Pasar Kliwon,-7.581668,110.836446,0271-633894,,Kelas II,,12,0
3372238,RS PKU Muhammadiyah Sampangan Surakarta,D,Semanggi RT 002 RW 020 Pasar Kliwon,-7.581668,110.836446,0271-633894,,Kelas III,,26,0
3372239,RS Gigi dan Mulut Soelastri,C,Jl. Brigjen Slamet Riyadi No. 366 Surakarta 57141,-7.565111,110.806852,0271-7467796,,ICU,,1,1
3372239,RS Gigi dan Mulut Soelastri,C,Jl. Brigjen Slamet Riyadi No. 366 Surakarta 57141,-7.565111,110.806852,0271-7467796,,VVIP/Super VIP,,1,1
3372239,RS Gigi dan Mulut Soelastri,C,Jl. Brigjen Slamet Riyadi No. 366 Surakarta 57141,-7.565111,110.806852,0271-7467796,,VIP,,1,1
3372239,RS Gigi dan Mulut Soelastri,C,Jl. Brigjen Slamet Riyadi No. 366 Surakarta 57141,-7.565111,110.806852,0271-7467796,,Kelas I,,2,1
3372239,RS Gigi dan Mulut Soelastri,C,Jl. Brigjen Slamet Riyadi No. 366 Surakarta 57141,-7.565111,110.806852,0271-7467796,,Kelas II,,2,1
3372239,RS Gigi dan Mulut Soelastri,C,Jl. Brigjen Slamet Riyadi No. 366 Surakarta 57141,-7.565111,110.806852,0271-7467796,,Kelas III,,3,1
3372241,RS JIH Solo,C,Jl. Adi Sucipto No 118 Jajar Laweyan,-7.550400,110.789900,0271-7469100,,ICU,,6,1
3372241,RS JIH Solo,C,Jl. Adi Sucipto No 118 Jajar Laweyan,-7.550400,110.789900,0271-7469100,,VVIP/Super VIP,,8,1
3372241,RS JIH Solo,C,Jl. Adi Sucipto No 118 Jajar Laweyan,-7.550400,110.789900,0271-7469100,,VIP,,47,1
3372241,RS JIH Solo,C,Jl. Adi Sucipto No 118 Jajar Laweyan,-7.550400,110.789900,0271-7469100,,Kelas I,Ruang ASOKA,7,1
3372241,RS JIH Solo,C,Jl. Adi Sucipto No 118 Jajar Laweyan,-7.550400,110.789900,0271-7469100,,Kelas II,Ruang ASOKA,5,1
3372241,RS JIH Solo,C,Jl. Adi Sucipto No 118 Jajar Laweyan,-7.550400,110.789900,0271-7469100,,Kelas III,Ruang ASOKA,25,1
3372242,RS Onkologi Solo,C,"Jl. Siwalan No.37 Rt.002 Rw.014 Kerten, Laweyan Surakarta",-7.556577,110.790503,0271-7651717,,ICU,,3,1
3372242,RS Onkologi Solo,C,"Jl. Siwalan No.37 Rt.002 Rw.014 Kerten, Laweyan Surakarta",-7.556577,110.790503,0271-7651717,,VIP,,2,1
3372242,RS Onkologi Solo,C,"Jl. Siwalan No.37 Rt.002 Rw.014 Kerten, Laweyan Surakarta",-7.556577,110.790503,0271-7651717,,Kelas I,,5,1
3372242,RS Onkologi Solo,C,"Jl. Siwalan No.37 Rt.002 Rw.014 Kerten, Laweyan Surakarta",-7.556577,110.790503,0271-7651717,,Kelas II,,10,1
3372242,RS Onkologi Solo,C,"Jl. Siwalan No.37 Rt.002 Rw.014 Kerten, Laweyan Surakarta",-7.556577,110.790503,0271-7651717,,Kelas III,,6,1
3372240,RS Umum Daerah Bung Karno Kota Surakarta,C,Jl. Sungai Serang 1 Rt 03 Rw 03 Kelurahan Mojo Kecamatan Pasar Kliwon,-7.592036,110.833789,0271-2936301,,ICU,,6,0
3372240,RS Umum Daerah Bung Karno Kota Surakarta,C,Jl. Sungai Serang 1 Rt 03 Rw 03 Kelurahan Mojo Kecamatan Pasar Kliwon,-7.592036,110.833789,0271-2936301,,VIP,,2,0
3372240,RS Umum Daerah Bung Karno Kota Surakarta,C,Jl. Sungai Serang 1 Rt 03 Rw 03 Kelurahan Mojo Kecamatan Pasar Kliwon,-7.592036,110.833789,0271-2936301,,Kelas I,,4,0
3372240,RS Umum Daerah Bung Karno Kota Surakarta,C,Jl. Sungai Serang 1 Rt 03 Rw 03 Kelurahan Mojo Kecamatan Pasar Kliwon,-7.592036,110.833789,0271-2936301,,Kelas II,,20,0
3372240,RS Umum Daerah Bung Karno Kota Surakarta,C,Jl. Sungai Serang 1 Rt 03 Rw 03 Kelurahan Mojo Kecamatan Pasar Kliwon,-7.592036,110.833789,0271-2936301,,Kelas III,,40,0
3372201,RS Umum Pusat Surakarta,D,"Jl. Profesor Dr. Soeharso No.28, Jajar, Kec. Laweyan",-7.554472,110.787051,0271-720002,rsupsurakarta@kemkes.go.id,ICU,,8,0
3372201,RS Umum Pusat Surakarta,D,"Jl. Profesor Dr. Soeharso No.28, Jajar, Kec. Laweyan",-7.554472,110.787051,0271-720002,rsupsurakarta@kemkes.go.id,Kelas I,"Ruang KAMAR RI NAKULA INFEKSI ANAK, Ruang KAMAR RI PUNTHADEWA ANAK, Ruang KAMAR SEMBODRO, Ruang KAMAR RI NAKULA INFEKSI, Ruang KAMAR RI NAKULA TBMDR, Ruang KAMAR RI SADEWA 2, Ruang KAMAR RI NAKULA NON INFEKSI, Ruang KAMAR RI PUNTHADEWA NON INFEKS, Ruang KAMAR ICU NON COVID",20,0
3372201,RS Umum Pusat Surakarta,D,"Jl. Profesor Dr. Soeharso No.28, Jajar, Kec. Laweyan",-7.554472,110.787051,0271-720002,rsupsurakarta@kemkes.go.id,Kelas II,"Ruang KAMAR RI SADEWA 2, Ruang KAMAR RI NAKULA INFEKSI ANAK, Ruang KAMAR RI PUNTHADEWA NON INFEKS, Ruang KAMAR RI NAKULA INFEKSI, Ruang KAMAR RI PUNTHADEWA ANAK, Ruang KAMAR SEMBODRO, Ruang KAMAR RI NAKULA NON INFEKSI",14,0
3372201,RS Umum Pusat Surakarta,D,"Jl. Profesor Dr. Soeharso No.28, Jajar, Kec. Laweyan",-7.554472,110.787051,0271-720002,rsupsurakarta@kemkes.go.id,Kelas III,"Ruang KAMAR SEMBODRO, Ruang KAMAR RI NAKULA INFEKSI, Ruang KAMAR RI PUNTHADEWA NON INFEKS, Ruang KAMAR RI NAKULA ANAK, Ruang SADEWA ISOLASI NON COVID, Ruang KAMAR RI PUNTHADEWA ANAK, Ruang KAMAR RI NAKULA INFEKSI ANAK, Ruang KAMAR RI NAKULA NON INFEKSI, Ruang KAMAR RI SADEWA 2",50,0
3372234,RS Umum Daerah Ibu Fatmawati Soekarno,C,Jl. Lettu Sumarto No. 1 Kel. Kadipiro Kec. Banjarsari,-7.526200,110.812800,0271-715300,,ICU,,5,0
3372234,RS Umum Daerah Ibu Fatmawati Soekarno,C,Jl. Lettu Sumarto No. 1 Kel. Kadipiro Kec. Banjarsari,-7.526200,110.812800,0271-715300,,VVIP/Super VIP,,0,0
3372234,RS Umum Daerah Ibu Fatmawati Soekarno,C,Jl. Lettu Sumarto No. 1 Kel. Kadipiro Kec. Banjarsari,-7.526200,110.812800,0271-715300,,VIP,,1,0
3372234,RS Umum Daerah Ibu Fatmawati Soekarno,C,Jl. Lettu Sumarto No. 1 Kel. Kadipiro Kec. Banjarsari,-7.526200,110.812800,0271-715300,,Kelas I,Ruang,9,0
3372234,RS Umum Daerah Ibu Fatmawati Soekarno,C,Jl. Lettu Sumarto No. 1 Kel. Kadipiro Kec. Banjarsari,-7.526200,110.812800,0271-715300,,Kelas II,Ruang,18,0
3372234,RS Umum Daerah Ibu Fatmawati Soekarno,C,Jl. Lettu Sumarto No. 1 Kel. Kadipiro Kec. Banjarsari,-7.526200,110.812800,0271-715300,,Kelas III,Ruang,72,0
