Kode Rumah Sakit,Nama Rumah Sakit,Tipe,Alamat,Latitude,Longitude,Telepon,Email,Kelas,Kamar,Jumlah Bed,BPJS,No WhatsApp,Foto Rumah Sakit
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,Kelas II,"Ruang Lt. 8 Utara, Lt. 7 Selatan, Lt. 6 Selatan, Lt. 5 Utara, Lt. 3 Utara",10,0,+628113620220,https://www.droensolobaru.com/wp-content/uploads/2022/06/RS-DEPAN-copy.jpg
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,Kelas III,"Ruang Lt. 8 Utara, Lt. 7 Selatan, Lt. 6 Selatan, Lt. 5 Utara, Lt. 3 Utara",22,0,+628113620220,https://www.droensolobaru.com/wp-content/uploads/2022/06/RS-DEPAN-copy.jpg
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,ICU,,11,0,+6282133150759,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj06r0fo5ZPFE6V7PwV4XhFgEgZOYFTBXpXN4cqZC9PK7IzZQ2LFHWfhs0r5pdoy3Gsb0vrR0Kgds4ejQMq90bTYfDqa9x829EthNKNIaJtxEfbNkIDsgRueenfWnHJqplMcFOsZNlODLupq1zTRr0cL3Jsm-mweZpeoUGqIReT9tr8rgGt6DJ1h-Kj/s600/RS%20PKU%20MUhammadiyah%20Solo.png
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,VVIP/Super VIP,,14,0,+6282133150759,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj06r0fo5ZPFE6V7PwV4XhFgEgZOYFTBXpXN4cqZC9PK7IzZQ2LFHWfhs0r5pdoy3Gsb0vrR0Kgds4ejQMq90bTYfDqa9x829EthNKNIaJtxEfbNkIDsgRueenfWnHJqplMcFOsZNlODLupq1zTRr0cL3Jsm-mweZpeoUGqIReT9tr8rgGt6DJ1h-Kj/s600/RS%20PKU%20MUhammadiyah%20Solo.png
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,VIP,,38,0,+6282133150759,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj06r0fo5ZPFE6V7PwV4XhFgEgZOYFTBXpXN4cqZC9PK7IzZQ2LFHWfhs0r5pdoy3Gsb0vrR0Kgds4ejQMq90bTYfDqa9x829EthNKNIaJtxEfbNkIDsgRueenfWnHJqplMcFOsZNlODLupq1zTRr0cL3Jsm-mweZpeoUGqIReT9tr8rgGt6DJ1h-Kj/s600/RS%20PKU%20MUhammadiyah%20Solo.png
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,Kelas I,,60,0,+6282133150759,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj06r0fo5ZPFE6V7PwV4XhFgEgZOYFTBXpXN4cqZC9PK7IzZQ2LFHWfhs0r5pdoy3Gsb0vrR0Kgds4ejQMq90bTYfDqa9x829EthNKNIaJtxEfbNkIDsgRueenfWnHJqplMcFOsZNlODLupq1zTRr0cL3Jsm-mweZpeoUGqIReT9tr8rgGt6DJ1h-Kj/s600/RS%20PKU%20MUhammadiyah%20Solo.png
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,Kelas II,,70,0,+6282133150759,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj06r0fo5ZPFE6V7PwV4XhFgEgZOYFTBXpXN4cqZC9PK7IzZQ2LFHWfhs0r5pdoy3Gsb0vrR0Kgds4ejQMq90bTYfDqa9x829EthNKNIaJtxEfbNkIDsgRueenfWnHJqplMcFOsZNlODLupq1zTRr0cL3Jsm-mweZpeoUGqIReT9tr8rgGt6DJ1h-Kj/s600/RS%20PKU%20MUhammadiyah%20Solo.png
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,Kelas III,,89,0,+6282133150759,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj06r0fo5ZPFE6V7PwV4XhFgEgZOYFTBXpXN4cqZC9PK7IzZQ2LFHWfhs0r5pdoy3Gsb0vrR0Kgds4ejQMq90bTYfDqa9x829EthNKNIaJtxEfbNkIDsgRueenfWnHJqplMcFOsZNlODLupq1zTRr0cL3Jsm-mweZpeoUGqIReT9tr8rgGt6DJ1h-Kj/s600/RS%20PKU%20MUhammadiyah%20Solo.png
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,ICU,,12,0,+6282133664747,"https://lh3.googleusercontent.com/p/AF1QipPxhcnrc79Q2fiZ-14bwwkOoLNsjsUMqGoY3QoM=s1360-w1360-h1020

"
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,VVIP/Super VIP,,3,0,+6282133664747,"https://lh3.googleusercontent.com/p/AF1QipPxhcnrc79Q2fiZ-14bwwkOoLNsjsUMqGoY3QoM=s1360-w1360-h1020

"
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,VIP,,22,0,+6282133664747,"https://lh3.googleusercontent.com/p/AF1QipPxhcnrc79Q2fiZ-14bwwkOoLNsjsUMqGoY3QoM=s1360-w1360-h1020

"
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,Kelas I,"Ruang WISNU N, RAMA 1-6, KRISNA 1-3, AMARTA 4, WIRATA 1-3, 7-10, WIRATA 12, SHINTA, ISMAYA, PANDU, INDRA",20,0,+6282133664747,"https://lh3.googleusercontent.com/p/AF1QipPxhcnrc79Q2fiZ-14bwwkOoLNsjsUMqGoY3QoM=s1360-w1360-h1020

"
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,Kelas II,"Ruang KRISNA 4-5, NAKULA 2-4 4, WIRATA 11, NARADA 1, RATIH",4,0,+6282133664747,"https://lh3.googleusercontent.com/p/AF1QipPxhcnrc79Q2fiZ-14bwwkOoLNsjsUMqGoY3QoM=s1360-w1360-h1020

"
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,Kelas III,"Ruang KAMAJAYA 1-4, SADEWA 1-2, INDRA 1-4,  RATIH 1-2, SHINTA 1-8, SRIKANDI, KAMAR BAYI, WISNU G, 01,02",0,0,+6282133664747,"https://lh3.googleusercontent.com/p/AF1QipPxhcnrc79Q2fiZ-14bwwkOoLNsjsUMqGoY3QoM=s1360-w1360-h1020

"
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,ICU,,4,0,+628585400999,https://lh3.googleusercontent.com/p/AF1QipPcw3AVoMIx8-03axSTqVK6cuwttuu5VGdyqmd3=s1360-w1360-h1020
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,VVIP/Super VIP,,7,0,+628585400999,https://lh3.googleusercontent.com/p/AF1QipPcw3AVoMIx8-03axSTqVK6cuwttuu5VGdyqmd3=s1360-w1360-h1020
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,VIP,,15,0,+628585400999,https://lh3.googleusercontent.com/p/AF1QipPcw3AVoMIx8-03axSTqVK6cuwttuu5VGdyqmd3=s1360-w1360-h1020
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,Kelas I,RUANG MARIA,11,0,+628585400999,https://lh3.googleusercontent.com/p/AF1QipPcw3AVoMIx8-03axSTqVK6cuwttuu5VGdyqmd3=s1360-w1360-h1020
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,Kelas II,,16,0,+628585400999,https://lh3.googleusercontent.com/p/AF1QipPcw3AVoMIx8-03axSTqVK6cuwttuu5VGdyqmd3=s1360-w1360-h1020
3372041,RS Umum Brayat Minulya,C,Jl. Dr. Setiabudi No. 106 Surakarta,-7.552676,110.814287,0271-716646,rsbmslo@indosat.id,Kelas III,,37,0,+628585400999,https://lh3.googleusercontent.com/p/AF1QipPcw3AVoMIx8-03axSTqVK6cuwttuu5VGdyqmd3=s1360-w1360-h1020
3372132,RS Umum Islam Kustati,C,Jl. Kapt. Mulyadi No.249,-7.580900,110.830900,0271-643013,rsuikustati@yahoo.com,ICU,,7,0,+6282134509631,https://lh5.googleusercontent.com/p/AF1QipOcKWORqfkjx-fTiapDJCX2tTtSq2YIpsTyLT52=w810-h878-p-k-no
3372132,RS Umum Islam Kustati,C,Jl. Kapt. Mulyadi No.249,-7.580900,110.830900,0271-643013,rsuikustati@yahoo.com,VIP,,1,0,+6282134509631,https://lh5.googleusercontent.com/p/AF1QipOcKWORqfkjx-fTiapDJCX2tTtSq2YIpsTyLT52=w810-h878-p-k-no
